"STATE__","BGN_DATE","BGN_TIME","TIME_ZONE","COUNTY","COUNTYNAME","STATE","EVTYPE","BGN_RANGE","BGN_AZI","BGN_LOCATI","END_DATE","END_TIME","COUNTY_END","COUNTYENDN","END_RANGE","END_AZI","END_LOCATI","LENGTH","WIDTH","F","MAG","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","WFO","STATEOFFIC","ZONENAMES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","REMARKS","REFNUM"
1.00,2/13/1952 0:00:00,"2030","CST",43.00,"CULLMAN","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.30,400.00,"1",0.00,0.00,3.00,2.50,"M",0.00,,,,,3401.00,8645.00,3402.00,8644.00,,11.00
1.00,2/13/1952 0:00:00,"2030","CST",9.00,"BLOUNT","AL","TORNADO",0.00,,,,,0.00,,0.00,,,4.70,400.00,"1",0.00,0.00,3.00,2.50,"M",0.00,,,,,3402.00,8644.00,3404.00,8640.00,,12.00
1.00,2/13/1952 0:00:00,"2130","CST",73.00,"JEFFERSON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,200.00,"3",0.00,1.00,26.00,250.00,"K",0.00,,,,,3336.00,8656.00,0.00,0.00,,13.00
1.00,2/29/1952 0:00:00,"1700","CST",49.00,"DEKALB","AL","TORNADO",0.00,,,,,0.00,,0.00,,,3.30,400.00,"3",0.00,0.00,12.00,0.00,"K",0.00,,,,,3430.00,8542.00,3432.00,8540.00,,14.00
1.00,3/3/1952 0:00:00,"1310","CST",107.00,"PICKENS","AL","TORNADO",0.00,,,,,0.00,,0.00,,,3.30,440.00,"3",0.00,0.00,6.00,25.00,"K",0.00,,,,,3320.00,8754.00,3322.00,8752.00,,15.00
1.00,3/22/1952 0:00:00,"1500","CST",103.00,"MORGAN","AL","TORNADO",0.00,,,,,0.00,,0.00,,,21.60,100.00,"4",0.00,4.00,50.00,25.00,"K",0.00,,,,,3436.00,8700.00,3441.00,8638.00,,16.00
1.00,4/4/1952 0:00:00,"0620","CST",97.00,"MOBILE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.20,200.00,"1",0.00,0.00,2.00,25.00,"K",0.00,,,,,3042.00,8817.00,0.00,0.00,,17.00
1.00,5/10/1952 0:00:00,"0900","CST",57.00,"FAYETTE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.20,50.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3344.00,8745.00,0.00,0.00,,18.00
1.00,5/10/1952 0:00:00,"0900","CST",57.00,"FAYETTE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.20,50.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3344.00,8745.00,0.00,0.00,,19.00
1.00,5/10/1952 0:00:00,"0900","CST",57.00,"FAYETTE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.20,50.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3344.00,8745.00,0.00,0.00,,20.00
1.00,1/8/1953 0:00:00,"0630","CST",47.00,"DALLAS","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.50,167.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3237.00,8659.00,0.00,0.00,,21.00
1.00,1/8/1953 0:00:00,"0710","CST",121.00,"TALLADEGA","AL","TORNADO",0.00,,,,,0.00,,0.00,,,3.00,867.00,"2",0.00,0.00,0.00,2.50,"K",0.00,,,,,3325.00,8607.00,3327.00,8605.00,,22.00
1.00,1/20/1953 0:00:00,"1500","CST",127.00,"WALKER","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.50,50.00,"3",0.00,0.00,0.00,2.50,"K",0.00,,,,,3348.00,8714.00,0.00,0.00,,23.00
1.00,1/20/1953 0:00:00,"1630","CST",9.00,"BLOUNT","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,33.00,,0.00,0.00,1.00,25.00,"K",0.00,,,,,3406.00,8630.00,0.00,0.00,,24.00
1.00,1/23/1953 0:00:00,"0500","CST",25.00,"CLARKE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,6.50,300.00,"3",0.00,0.00,1.00,25.00,"K",0.00,,,,,3132.00,8800.00,3134.00,8754.00,,25.00
1.00,2/20/1953 0:00:00,"1610","CST",33.00,"COLBERT","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.10,20.00,"3",0.00,1.00,8.00,25.00,"K",0.00,,,,,3442.00,8742.00,0.00,0.00,,26.00
1.00,2/20/1953 0:00:00,"1630","CST",93.00,"MARION","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.50,300.00,"2",0.00,0.00,2.00,25.00,"K",0.00,,,,,3357.00,8748.00,0.00,0.00,,27.00
1.00,2/20/1953 0:00:00,"1645","CST",127.00,"WALKER","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.70,100.00,"2",0.00,0.00,1.00,25.00,"K",0.00,,,,,3356.00,8722.00,0.00,0.00,,28.00
1.00,2/20/1953 0:00:00,"1900","CST",59.00,"FRANKLIN","AL","TORNADO",0.00,,,,,0.00,,0.00,,,7.10,220.00,"2",0.00,0.00,6.00,25.00,"K",0.00,,,,,3423.00,8704.00,3425.00,8657.00,,29.00
1.00,3/18/1953 0:00:00,"1422","CST",97.00,"MOBILE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.10,10.00,"2",0.00,0.00,2.00,2.50,"K",0.00,,,,,3042.00,8807.00,0.00,0.00,,30.00
1.00,3/22/1953 0:00:00,"1900","CST",77.00,"LAUDERDALE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.00,200.00,"2",0.00,0.00,0.00,2.50,"K",0.00,,,,,3451.00,8737.00,0.00,0.00,,31.00
1.00,4/6/1953 0:00:00,"1545","CST",73.00,"JEFFERSON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.50,37.00,"3",0.00,0.00,12.00,2.50,"K",0.00,,,,,3319.00,8700.00,0.00,0.00,,32.00
1.00,4/12/1953 0:00:00,"0340","CST",9.00,"BLOUNT","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.50,100.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3351.00,8646.00,0.00,0.00,,33.00
1.00,4/18/1953 0:00:00,"1700","CST",81.00,"LEE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,34.70,33.00,"3",0.00,6.00,195.00,2.50,"M",0.00,,,,,3236.00,8535.00,3230.00,8500.00,,34.00
1.00,5/1/1953 0:00:00,"1715","CST",21.00,"CHILTON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.50,100.00,"2",0.00,0.00,2.00,25.00,"K",0.00,,,,,3302.00,8645.00,0.00,0.00,,35.00
1.00,5/1/1953 0:00:00,"1930","CST",27.00,"CLAY","AL","TORNADO",0.00,,,,,0.00,,0.00,,,12.10,440.00,"4",0.00,7.00,12.00,250.00,"K",0.00,,,,,3313.00,8556.00,3318.00,8545.00,,36.00
1.00,5/1/1953 0:00:00,"2000","CST",73.00,"JEFFERSON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,33.00,,0.00,0.00,0.00,2.50,"K",0.00,,,,,3337.00,8637.00,0.00,0.00,,37.00
1.00,5/1/1953 0:00:00,"2000","CST",23.00,"CHOCTAW","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,100.00,"4",0.00,2.00,3.00,25.00,"K",0.00,,,,,3215.00,8823.00,0.00,0.00,,38.00
1.00,5/4/1953 0:00:00,"1830","CST",93.00,"MARION","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.20,67.00,"1",0.00,0.00,2.00,2.50,"K",0.00,,,,,3355.00,8749.00,0.00,0.00,,39.00
1.00,5/4/1953 0:00:00,"1900","CST",73.00,"JEFFERSON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,33.00,"0",0.00,0.00,0.00,25.00,"K",0.00,,,,,3324.00,8658.00,0.00,0.00,,40.00
1.00,12/6/1953 0:00:00,"0700","CST",67.00,"HENRY","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,33.00,"1",0.00,0.00,0.00,2.50,"K",0.00,,,,,3123.00,8524.00,0.00,0.00,,41.00
1.00,12/6/1953 0:00:00,"0800","CST",67.00,"HENRY","AL","TORNADO",0.00,,,,,0.00,,0.00,,,2.00,33.00,"2",0.00,0.00,1.00,25.00,"K",0.00,,,,,3122.00,8516.00,0.00,0.00,,42.00
1.00,2/28/1954 0:00:00,"0200","CST",21.00,"CHILTON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,12.50,167.00,"1",0.00,0.00,0.00,2.50,"K",0.00,,,,,3255.00,8649.00,3302.00,8639.00,,43.00
1.00,3/13/1954 0:00:00,"2040","CST",113.00,"RUSSELL","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.90,880.00,"3",0.00,0.00,0.00,25.00,"K",0.00,,,,,3220.00,8502.00,3221.00,8501.00,,44.00
1.00,3/29/1954 0:00:00,"1430","CST",67.00,"HENRY","AL","TORNADO",0.00,,,,,0.00,,0.00,,,2.50,100.00,"2",0.00,0.00,0.00,25.00,"K",0.00,,,,,3122.00,8517.00,0.00,0.00,,45.00
1.00,4/16/1954 0:00:00,"0800","CST",31.00,"COFFEE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.30,100.00,"2",0.00,0.00,0.00,0.03,"K",0.00,,,,,3119.00,8549.00,3120.00,8548.00,,46.00
1.00,4/16/1954 0:00:00,"0800","CST",45.00,"DALE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,16.00,100.00,"2",0.00,0.00,1.00,25.00,"K",0.00,,,,,3120.00,8548.00,3127.00,8534.00,,47.00
1.00,12/5/1954 0:00:00,"1200","CST",81.00,"LEE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,19.40,100.00,"3",0.00,0.00,4.00,250.00,"K",0.00,,,,,3241.00,8525.00,3240.00,8505.00,,48.00
1.00,12/5/1954 0:00:00,"1330","CST",15.00,"CALHOUN","AL","TORNADO",0.00,,,,,0.00,,0.00,,,24.70,100.00,"3",0.00,0.00,26.00,250.00,"K",0.00,,,,,3347.00,8600.00,3355.00,8536.00,,49.00
1.00,12/5/1954 0:00:00,"1345","CST",5.00,"BARBOUR","AL","TORNADO",0.00,,,,,0.00,,0.00,,,17.50,100.00,"2",0.00,0.00,3.00,2.50,"K",0.00,,,,,3156.00,8523.00,3156.00,8505.00,,50.00
1.00,12/5/1954 0:00:00,"1600","CST",109.00,"PIKE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.50,83.00,"1",0.00,0.00,2.00,2.50,"K",0.00,,,,,3153.00,8604.00,0.00,0.00,,51.00
1.00,12/5/1954 0:00:00,"1600","CST",113.00,"RUSSELL","AL","TORNADO",0.00,,,,,0.00,,0.00,,,0.00,33.00,"2",0.00,0.00,0.00,25.00,"K",0.00,,,,,3227.00,8517.00,0.00,0.00,,52.00
1.00,3/21/1955 0:00:00,"1230","CST",33.00,"COLBERT","AL","TORNADO",0.00,,,,,0.00,,0.00,,,5.40,200.00,"2",0.00,0.00,1.00,25.00,"K",0.00,,,,,3442.00,8806.00,3444.00,8801.00,,53.00
1.00,3/21/1955 0:00:00,"1800","CST",73.00,"JEFFERSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3335.00,8647.00,0.00,0.00,,54.00
1.00,3/25/1955 0:00:00,"1610","CST",103.00,"MORGAN","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,75.00,0.00,0.00,0.00,,0.00,,,,,3435.00,8700.00,0.00,0.00,,55.00
1.00,3/25/1955 0:00:00,"1700","CST",83.00,"LIMESTONE","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,200.00,0.00,0.00,0.00,,0.00,,,,,3442.00,8654.00,0.00,0.00,,56.00
1.00,4/6/1955 0:00:00,"0600","CST",73.00,"JEFFERSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3323.00,8700.00,0.00,0.00,,57.00
1.00,4/6/1955 0:00:00,"1730","CST",57.00,"FAYETTE","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,100.00,0.00,0.00,0.00,,0.00,,,,,3342.00,8735.00,0.00,0.00,,58.00
1.00,4/6/1955 0:00:00,"1816","CST",9.00,"BLOUNT","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3400.00,8617.00,0.00,0.00,,59.00
1.00,4/6/1955 0:00:00,"1830","CST",63.00,"GREENE","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3253.00,8754.00,0.00,0.00,,60.00
1.00,4/6/1955 0:00:00,"1845","CST",73.00,"JEFFERSON","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,175.00,0.00,0.00,0.00,,0.00,,,,,3323.00,8700.00,0.00,0.00,,61.00
1.00,4/6/1955 0:00:00,"1930","CST",21.00,"CHILTON","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,275.00,0.00,0.00,0.00,,0.00,,,,,3247.00,8641.00,0.00,0.00,,62.00
1.00,4/6/1955 0:00:00,"1940","CST",123.00,"TALLAPOOSA","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,75.00,0.00,0.00,0.00,,0.00,,,,,3300.00,8554.00,0.00,0.00,,63.00
1.00,4/13/1955 0:00:00,"0800","CST",63.00,"GREENE","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3253.00,8754.00,0.00,0.00,,64.00
1.00,4/13/1955 0:00:00,"1330","CST",33.00,"COLBERT","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3442.00,8735.00,0.00,0.00,,65.00
1.00,4/13/1955 0:00:00,"1730","CST",57.00,"FAYETTE","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3342.00,8747.00,0.00,0.00,,66.00
1.00,4/13/1955 0:00:00,"1930","CST",117.00,"SHELBY","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,200.00,0.00,0.00,0.00,,0.00,,,,,3312.00,8635.00,0.00,0.00,,67.00
1.00,4/21/1955 0:00:00,"0810","CST",47.00,"DALLAS","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.50,50.00,"2",0.00,0.00,1.00,25.00,"K",0.00,,,,,3223.00,8701.00,0.00,0.00,,68.00
1.00,4/21/1955 0:00:00,"0830","CST",47.00,"DALLAS","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3217.00,8700.00,0.00,0.00,,69.00
1.00,4/24/1955 0:00:00,"0545","CST",103.00,"MORGAN","AL","TORNADO",0.00,,,,,0.00,,0.00,,,8.60,200.00,"4",0.00,5.00,20.00,2.50,"M",0.00,,,,,3421.00,8703.00,3422.00,8654.00,,70.00
1.00,5/24/1955 0:00:00,"1430","CST",21.00,"CHILTON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3247.00,8635.00,0.00,0.00,,71.00
1.00,5/29/1955 0:00:00,"0340","CST",125.00,"TUSCALOOSA","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,60.00,0.00,0.00,0.00,,0.00,,,,,3312.00,8735.00,0.00,0.00,,72.00
1.00,6/10/1955 0:00:00,"1500","CST",21.00,"CHILTON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3300.00,8647.00,0.00,0.00,,73.00
1.00,7/19/1955 0:00:00,"1330","CST",3.00,"BALDWIN","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,75.00,0.00,0.00,0.00,,0.00,,,,,3030.00,8754.00,0.00,0.00,,74.00
1.00,7/28/1955 0:00:00,"1500","CST",73.00,"JEFFERSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,52.00,0.00,0.00,0.00,,0.00,,,,,3335.00,8647.00,0.00,0.00,,75.00
1.00,10/16/1955 0:00:00,"0800","CST",45.00,"DALE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,16.00,100.00,,0.00,0.00,0.00,2.50,"K",0.00,,,,,3120.00,8548.00,3127.00,8534.00,,76.00
1.00,10/16/1955 0:00:00,"1805","CST",31.00,"COFFEE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.30,167.00,,0.00,0.00,0.00,2.50,"K",0.00,,,,,3119.00,8549.00,3120.00,8548.00,,77.00
1.00,10/16/1955 0:00:00,"1815","CST",31.00,"COFFEE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,14.00,167.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3121.00,8601.00,3119.00,8547.00,,78.00
1.00,10/16/1955 0:00:00,"1840","CST",31.00,"COFFEE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,1.90,100.00,"2",0.00,0.00,0.00,2.50,"M",0.00,,,,,3119.00,8550.00,3119.00,8548.00,,79.00
1.00,10/16/1955 0:00:00,"1840","CST",45.00,"DALE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,14.50,100.00,"2",0.00,0.00,5.00,2.50,"M",0.00,,,,,3119.00,8548.00,3125.00,8535.00,,80.00
1.00,10/28/1955 0:00:00,"1640","CST",73.00,"JEFFERSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3335.00,8647.00,0.00,0.00,,81.00
1.00,10/28/1955 0:00:00,"1645","CST",117.00,"SHELBY","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,200.00,0.00,0.00,0.00,,0.00,,,,,3317.00,8647.00,0.00,0.00,,82.00
1.00,2/17/1956 0:00:00,"2030","CST",33.00,"COLBERT","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,67.00,0.00,0.00,0.00,,0.00,,,,,3442.00,8730.00,0.00,0.00,,83.00
1.00,2/17/1956 0:00:00,"2200","CST",103.00,"MORGAN","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3430.00,8641.00,0.00,0.00,,84.00
1.00,2/17/1956 0:00:00,"2200","CST",89.00,"MADISON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3435.00,8641.00,0.00,0.00,,85.00
1.00,2/17/1956 0:00:00,"2200","CST",33.00,"COLBERT","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3442.00,8747.00,0.00,0.00,,86.00
1.00,2/18/1956 0:00:00,"0015","CST",71.00,"JACKSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3453.00,8541.00,0.00,0.00,,87.00
1.00,3/7/1956 0:00:00,"0550","CST",127.00,"WALKER","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,250.00,0.00,0.00,0.00,,0.00,,,,,3342.00,8711.00,0.00,0.00,,88.00
1.00,3/7/1956 0:00:00,"1700","CST",49.00,"DEKALB","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,200.00,0.00,0.00,0.00,,0.00,,,,,3417.00,8554.00,0.00,0.00,,89.00
1.00,3/16/1956 0:00:00,"0530","CST",61.00,"GENEVA","AL","TORNADO",0.00,,,,,0.00,,0.00,,,11.90,20.00,"1",0.00,0.00,0.00,25.00,"K",0.00,,,,,3112.00,8530.00,3111.00,8518.00,,90.00
1.00,4/3/1956 0:00:00,"2015","CST",33.00,"COLBERT","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3447.00,8800.00,0.00,0.00,,91.00
1.00,4/15/1956 0:00:00,"0530","CST",119.00,"SUMTER","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,200.00,0.00,0.00,0.00,,0.00,,,,,3242.00,8811.00,0.00,0.00,,92.00
1.00,4/15/1956 0:00:00,"0730","CST",133.00,"WINSTON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3412.00,8735.00,0.00,0.00,,93.00
1.00,4/15/1956 0:00:00,"1500","CST",73.00,"JEFFERSON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,21.30,200.00,"4",0.00,25.00,200.00,2.50,"M",0.00,,,,,3330.00,8658.00,3338.00,8638.00,,94.00
1.00,4/15/1956 0:00:00,"1520","CST",73.00,"JEFFERSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,60.00,0.00,0.00,0.00,,0.00,,,,,3335.00,8647.00,0.00,0.00,,95.00
1.00,4/15/1956 0:00:00,"1700","CST",7.00,"BIBB","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3300.00,8705.00,0.00,0.00,,96.00
1.00,4/15/1956 0:00:00,"1900","CST",57.00,"FAYETTE","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3335.00,8547.00,0.00,0.00,,97.00
1.00,5/2/1956 0:00:00,"1600","CST",107.00,"PICKENS","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3323.00,8800.00,0.00,0.00,,98.00
1.00,5/3/1956 0:00:00,"0440","CST",39.00,"COVINGTON","AL","TORNADO",0.00,,,,,0.00,,0.00,,,3.80,83.00,"3",0.00,0.00,2.00,25.00,"K",0.00,,,,,3136.00,8633.00,3137.00,8630.00,,99.00
1.00,5/25/1956 0:00:00,"1430","CST",39.00,"COVINGTON","AL","HAIL",0.00,,,,,0.00,,0.00,,,0.00,0.00,,200.00,0.00,0.00,0.00,,0.00,,,,,3117.00,8630.00,0.00,0.00,,100.00
1.00,6/5/1956 0:00:00,"1630","CST",67.00,"HENRY","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3124.00,8517.00,0.00,0.00,,101.00
1.00,7/4/1956 0:00:00,"1530","CST",21.00,"CHILTON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3247.00,8635.00,0.00,0.00,,102.00
1.00,7/8/1956 0:00:00,"0800","CST",25.00,"CLARKE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,31.10,33.00,"2",0.00,0.00,0.00,2.50,"K",0.00,,,,,3137.00,8754.00,3126.00,8725.00,,103.00
1.00,8/19/1956 0:00:00,"1200","CST",73.00,"JEFFERSON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,65.00,0.00,0.00,0.00,,0.00,,,,,3335.00,8647.00,0.00,0.00,,104.00
1.00,12/23/1956 0:00:00,"0050","CST",99.00,"MONROE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,73.90,100.00,"2",0.00,0.00,0.00,0.25,"K",0.00,,,,,3125.00,8721.00,3208.00,8625.00,,105.00
1.00,12/23/1956 0:00:00,"0050","CST",101.00,"MONTGOMERY","AL","TORNADO",0.00,,,,,0.00,,0.00,,,30.50,100.00,"2",0.00,0.00,1.00,0.25,"K",0.00,,,,,3208.00,8625.00,3225.00,8601.00,,106.00
1.00,12/23/1956 0:00:00,"0050","CST",51.00,"ELMORE","AL","TORNADO",0.00,,,,,0.00,,0.00,,,17.30,100.00,"2",0.00,0.00,0.00,0.25,"K",0.00,,,,,3225.00,8601.00,3236.00,8549.00,,107.00
1.00,12/23/1956 0:00:00,"0300","CST",87.00,"MACON","AL","TSTM WIND",0.00,,,,,0.00,,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,,,,,3230.00,8547.00,0.00,0.00,,108.00
